Avatar: The Game,6.72857142857,3.48	
Avatar: The Last Airbender,5.4375,1.23	
Away: Shuffle Dungeon,6.1,0.03	
Azure Dreams,6.5,0.13	
Azurik: Rise of Perathia,6.5,0.24	
B-Boy,3.9,0.05	
BMX XXX,6.53333333333,0.32	
Baby Pals,4.0,0.28	
Babysitting Mama,4.5,0.5	
Back to the Future: The Game,7.33333333333,0.37	
Backyard Baseball '09,3.5,0.19	
Backyard Basketball,6.5,0.18	
Backyard Hockey,5.0,0.27	
Backyard Wrestling 2: There Goes the Neighborhood,5.6,0.4	
Backyard Wrestling: Don't Try This at Home,6.5,0.77	
Bad Boys: Miami Takedown,3.6,1.38	
Baja: Edge of Control,5.9,0.41	
Baku Baku,7.5,0.05	
Bakugan: Battle Brawlers,6.08,2.98	
Baldur's Gate: Dark Alliance II,8.4,0.94	
Baldur's Gate: Dark Alliance,8.35,1.58	
Ball Breakers,7.5,0.18	
Ballistic,7.5,0.04	
Ballistic: Ecks vs. Sever,8.4,0.1	
Balloon Fight,6.0,0.92	
Balloon Pop,4.7,0.19	
Balls of Fury,3.85,0.04	
Band Hero,7.32,3.4	
Bangai-O Spirits,8.1,0.08	
Banjo-Kazooie,8.8,3.66	
Banjo-Kazooie: Grunty's Revenge,8.0,0.33	
Banjo-Kazooie: Nuts & Bolts,8.3,0.78	
Banjo-Tooie,8.95,1.49	
Barbarian,7.6,0.14	
Barbie Horse Adventures: Riding Camp,5.925,0.94	
Barbie Horse Adventures: Wild Horse Rescue,4.0,0.55	
Barbie as The Island Princess,4.5,1.11	
Barnyard Blast: Swine of the Night,7.2,0.02	
Barnyard,6.24,0.3	
Baroque,5.4,0.21	
Baseball Advance,8.8,0.13	
Baseball Blast!,6.0,0.15	
Baseball,5.33333333333,4.81	
Bass Landing,7.7,0.62	
Bass Pro Shops: The Hunt,5.5,0.33	
Bass Pro Shops: The Strike,4.65,0.7	
Bass Rise,5.5,0.05	
Bassmasters 2000,3.1,0.14	
Baten Kaitos Origins,8.3,0.1	
Baten Kaitos: Eternal Wings and the Lost Ocean,8.8,0.27	
Batman & Robin,5.0,0.11	
Batman Begins,7.06,1.09	
Batman Beyond: Return of the Joker,3.33333333333,0.26	
Batman Forever: The Arcade Game,5.0,0.03	
Batman: Arkham Asylum,9.3,8.07	
Batman: Arkham City,9.5,11.2	
Batman: Arkham Knight,9.2,5.37	
Batman: Arkham Origins Blackgate,7.4,0.8	
Batman: Arkham Origins,7.8,4.97	
Batman: Dark Tomorrow,3.5,0.19	
Batman: Rise of Sin Tzu,6.25,0.59	
Battalion Wars 2,8.0,0.35	
Battalion Wars,8.8,0.4	
Battle Arena Toshinden 2,6.0,0.71	
Battle Arena Toshinden 3,6.3,0.27	
Battle Arena Toshinden Remix,5.0,0.12	
Battle Arena Toshinden,7.0,1.27	
Battle Engine Aquila,7.73333333333,0.05	
Battle Fantasia,6.5,0.1	
Battle Princess of Arcadias,7.6,0.02	
Battle Stations,6.0,0.78	
Battle of Giants: Dinosaurs Strike,5.0,0.2	
Battle of Giants: Dinosaurs,6.7,0.83	
Battle of Giants: Dragons,7.2,0.63	
Battle of Giants: Mutant Insects,6.0,0.27	
BattleBots: Beyond the BattleBox,5.0,0.06	
BattleForge,6.6,0.01	
BattleTanx,6.5,0.33	
BattleTanx: Global Assault,6.35,0.39	
Battleborn,7.1,0.42	
Battlefield 1942,9.3,0.03	
Battlefield 2,8.9,0.08	
Battlefield 2142,8.4,0.03	
Battlefield 2: Modern Combat,8.3,1.41	
Battlefield 3,9.0,17.36	
Battlefield 4,8.3,14.03	
Battlefield Vietnam,8.2,0.03	
Battlefield: Bad Company 2,7.925,7.16	
Battlefield: Bad Company,8.6,2.81	
Battles of Prince of Persia,5.5,0.12	
Battlestar Galactica,6.0,0.24	
Battlestations: Midway,8.5,0.27	
Battlestations: Pacific,7.7,0.36	
Battlezone,6.0,0.65	
Battlezone: Rise of the Black Dogs,3.9,0.07	
Bayonetta 2,9.5,1.01	
Bayonetta,8.85,2.17	
Beat Down: Fists of Vengeance,4.6,0.17	
Beaterator,7.5,0.09	
Beautiful Katamari,7.8,0.32	
Bee Movie Game,6.8,1.06	
Bejeweled 3,8.0,0.08	
Bejeweled Twist,7.26666666667,0.15	
Bella Sara,6.5,0.09	
Ben 10: Alien Force,4.45,2.92	
Ben 10: Protector of Earth,7.3,4.49	
Beowulf: The Game,4.75,0.65	
Beyblade: Metal Fusion,4.0,0.26	
Beyond Good & Evil,9.0,0.5	
Beyond Oasis,8.0,0.05	
Beyond The Beyond,4.0,0.57	
Beyond: Two Souls,6.0,1.79	
Big Air Freestyle,6.4,0.05	
Big Air,6.5,0.19	
Big Bang Mini,8.7,0.06	
Big Bass World Championship,6.0,0.36	
Big Beach Sports,2.5,1.67	
Big Brain Academy,8.1,6.67	
Big Brain Academy: Wii Degree,7.6,3.82	
Big League Sports,2.3,0.31	
Big Mountain 2000,6.0,0.03	
Big Mutha Truckers 2,5.5,0.27	
Big Mutha Truckers,5.86666666667,1.15	
Bigfoot: Collision Course,2.1,0.47	
Biker Mice From Mars,3.0,0.09	
Billy Hatcher and the Giant Egg,7.7,0.25	
Billy the Wizard: Rocket Broomstick Racing,2.0,0.05	
Binary Domain,7.5,0.52	
BioShock 2,9.1,3.76	
BioShock Infinite,9.43333333333,4.39	
BioShock,8.875,4.69	
Bionic Commando,7.875,0.65	
Bionicle Heroes,7.36,0.28	
Bionicle: Matoran Adventures,3.0,0.26	
Black & Bruised,6.2,0.21	
Black & White 2,8.8,0.09	
Black & White,9.7,0.04	
Black Bass with Blue Marlin,5.0,0.11	
Black Dawn,7.5,0.13	
Black Sigil: Blade of the Exiled,5.5,0.05	
Black,8.65,1.67	
Blackthorne,7.5,0.01	
Blackwater,2.5,0.12	
Blade Dancer: Lineage of Light,6.5,0.06	
Blade II,5.05,0.44	
Bladestorm: The Hundred Years' War,6.5,0.39	
Blast Corps,9.0,0.71	
Blast Lacrosse,6.1,0.06	
Blast Radius,6.0,0.07	
Blasto,5.0,0.35	
BlazBlue: Calamity Trigger Portable,8.0,0.11	
BlazBlue: Calamity Trigger,9.4,0.95	
BlazBlue: Chrono Phantasma,8.5,0.4	
BlazBlue: Continuum Shift II,6.0,0.24	
BlazBlue: Continuum Shift,8.5,0.73	
Blazing Angels 2: Secret Missions of WWII,7.66666666667,0.29	
Blazing Angels: Squadrons of WWII,6.62,2.04	
Bleach: Dark Souls,8.5,0.15	
Bleach: Shattered Blade,6.3,0.33	
Bleach: Soul Resurreccion,7.0,0.5	
Bleach: The 3rd Phantom,7.0,0.2	
Blender Bros.,7.8,0.02	
Blinx: The Time Sweeper,8.8,0.56	
Blitz: Overtime,6.2,0.09	
Blitz: The League II,5.5,0.26	
Blitz: The League,6.96666666667,1.58	
Block Party,3.3,0.16	
Blokus Portable: Steambot Championship,5.0,0.03	
Blood Bowl,6.4,0.21	
Blood Drive,5.5,0.18	
Blood Omen: Legacy of Kain,8.5,0.44	
Blood Wake,8.4,0.57	
BloodRayne 2,7.6,0.42	
BloodRayne,7.6,0.74	
Bloodborne,9.1,2.38	
Bloody Roar 3,7.9,0.35	
Bloody Roar 4,6.0,0.09	
Bloody Roar Extreme,7.3,0.04	
Bloody Roar,8.0,0.39	
Bloody Roar: Primal Fury,7.7,0.18	
BlowOut,6.5,0.28	
Blue Dragon Plus,8.0,0.22	
Blue Dragon,7.9,0.92	
Blue Dragon: Awakened Shadow,8.0,0.1	
